1st Level Prowesses,,,,
Interrupt,1 Reaction (when a creature within 5 ft. takes a Major or Minor action),"You attempt to disrupt the actions of a creature within 5 ft. Take a Stress to force the target to make a Reflex saving throw. On a failure, the triggering action is interrupted and wasted, but the creature does not expend any resources (spell slots, class features, etc.)

On a success, the action continues normally.","Combat
CC","Fighter, Rogue"
Whirl,"1 Major Action (Concentration, 1 minute)","Begin spinning your weapon to threaten other creatures within a 10 ft. sphere. When a creature enters the area for the first time on a turn or starts its turn there, it must make a Reflex saving throw. On a failed save, the creature takes 1d10 + your weapon's damage modifier and half as much on a success.

Falling Prone, being Restrained or Grappled, or getting Disarmed automatically ends this Prowess.","Combat
AOE
Damage",Fighter
A Thousand Cuts,"1 Major Action (Concentration, 1 Minute)","Unleash flurries of strikes whenever you attack. When you hit a creature with a melee weapon attack, you can cause a different creature within 5 ft. of the target to take damage equal to your weapon's damage modifier.","Combat
Damage","Fighter, Rogue"
Fortify,1 Minor Action,"As a minor action, bolster your defense. Until the start of your next turn, whenever you use the Absorption feature, reduce the damage by your total Absorb.","Combat
Defence",Fighter
Dragged to Safety,1 Minor Action,"As a minor action, cause a willing creature within 5 ft. of you to follow your movement until the end of your turn.","Combat
Movement",Fighter
Eye for Danger,1 Major Action,"Your extensive training has made your perceptive to hidden traps and foes. You become aware of any traps within 20 ft. of you. Also, all Hidden creatures within 20 ft. must make a Reflex saving throw. On a failure, you know of their current location.",Utility,"Fighter, Rogue"
Helping Hand,1 Minor Action,You may take the Help action as a Minor action. The creature you aid also has advantage on its next saving throw within 1 minute.,"Combat
Support","Fighter, Rogue"
Back to Back,"1 Major Action (Concentration, 1 minute)","Fight against the odds with an ally. Choose a willing creature within 10 ft. of you. At the start of your and the creature's turn, so long as you remain within 10 ft. of each other, you and they may gain one of the following benefits:
Gain 1d6 + your proficiency bonus temporary hit points.

Gain advantage on your first attack roll on your turn.

Increase your AC by your proficiency bonus until the start of your next turn.","Combat
Support",Fighter
Rank and File,Special,"When making any Charisma ability check, you can instead make it a Charisma (Intimidation) ability check.","Utility
Social",Fighter
Smoke Bomb,Minor Action,"Cause a thick smoke cloud in a 15 ft. sphere to appear that irritates and impairs the vision of any creatures inside of it. The smoke lasts for 1 minute and can be dispersed by moderate winds. You immediately gain the Hidden condition until you take the Attack or Cast a Spell action or are spotted by a hostile creature.",Combat,Rogue
Thieves' Cache,10 Minutes,"You are aware of supply caches hidden everywhere for members of an organization you are either part of or friendly with. By spending 10 minutes searching or seeking out clues written in Thieves' Cant, you can find a cache that contains one of the following: An artisan's tools A healer's kit A common potion of healing A common potion of relaxation A grappling hook and 50 ft. of rope Once used, this prowess can not be unflipped until the end of the next long rest.",Utility,Rogue
Distraction,Minor Action,"Cause a distraction at a point within 30 ft. that you can see. All creatures within 30 ft. of the point of your choice must make a Will saving throw. On a fail, they are compelled to investigate the distraction until the end of their next turn. Creatures in Initiative automatically succeed this saving throw.",CC,Rogue
Lost in the Crowd,Special,"When making a Stealth check while surrounded by non-hostile creatures, treat any roll 9 or below as a 10.",Utility,Rogue
Stealth Lead,Major Action,"You can actively coverup the mistakes of your allies when attempting to hide. Choose up to five creatures within 15 ft. of you. While these creatures are within range, they may use your Dexterity (Stealth) modifier instead of their own.",Utility,Rogue
Slipaway,Reaction (when a creature makes a melee attack against you),"When a creature makes a melee attack against you, you may move up to your movement speed without triggering opportunity attacks.",Movement,Rogue
